Name,Type,AI_Governance_Fit,Check_Size,Thesis,Portfolio,Relevant_Connections,Red_Flags,Recent_News,Sources,Outreach_Subject,Outreach_Body,Call_To_Action
Sequoia Capital,vc,medium,$10M–$100M+ (typically $20M–$30M+ for growth and Series B/C AI/enterprise deals),"Sequoia Capital is one of the world's leading venture capital firms, investing in early- and growth-stage companies with market-transforming potential. Their recent focus includes AI innovations and enterprise technology. They aim to back 'the daring who build legendary companies,' highlighting category leaders, defensible technology, and strong teams.",Fal; OpenAI; NVIDIA (invested via portfolio ties: NVentures family); UiPath; Snowflake; Stripe; Databricks,"Konstantine Buhler (Partner, AI/enterprise focus); Stephanie Zhan (Partner, focuses on AI and next-gen infrastructure); Existing Sequoia portfolio founders (potential for warm introductions)",Highly competitive; intensely focused on outsized category winners;; Less explicit orientation toward ethical/governance AI compared to specialist firms;; May lean toward 'move fast' ethos in winner-take-all markets,"Led $140M Series D for Fal, a real-time generative media startup (Dec 2025) [Businesswire/Bloomberg]; Named most active US startup investor in June 2025 [Crunchbase]; Continues to expand leading AI portfolio, backing category leaders [Crunchbase/FeedTheAI]; Publishes AI 50 each year tracking AI trends [SequoiaCap.com]",https://www.businesswire.com/news/home/20251209532649/en/fal-Raises-$140M-in-Series-D-Led-by-Sequoia-with-Major-Participation-from-Kleiner-Perkins-and-New-Investment-from-Alkeon-Capital-and-NVentures-NVIDIAs-venture-capital-arm-to-Accelerate-the-Future-of-Real-Time-Generative-Media; https://tracxn.com/d/venture-capital/sequoia-capital/__C16oDw9zCP_DohQqpFHBpyGTKnJWP9YQZ60yJxhPs3U; https://news.crunchbase.com/venture/most-active-us-investors-june-2025-sequoia/; https://www.feedtheai.com/sequoia-capital-portfolio-ai-startups-backed-by-sequoia/; https://sequoiacap.com/article/ai-50-2024/; https://news.crunchbase.com/ai/sequoia-capital-growing-ai-portfolio-openai-stephanie-zhan/; https://www.bloomberg.com/news/articles/2025-12-09/sequoia-led-funding-vaults-ai-startup-fal-to-4-5-billion-valuation; https://sequoiacap.com/; https://techcrunch.com/tag/sequoia-capital/,Series A Opportunity: Enabling Trustworthy AI Governance at Runcible,"Hi Sequoia Capital team,  We're building Runcible: The Governance Layer for AI, ensuring truth-constrained, auditable, and ethical AI where outcomes matter most—across finance, healthcare, defense, and government. With rapid AI deployment in high-stakes settings, the world urgently needs systems that guarantee decision integrity and auditability.  What sets us apart is a founding team combining research from the Natural Law Institute (decidability science) with proven execution in mission-critical environments. We're experiencing significant early traction with strategic pilots in regulated sectors.  We're currently raising a $20–30M Series A to capitalize on this inflection point in the market. I’d love to connect and discuss how Sequoia can help scale trustworthy AI where it counts most. ",Would you be open to a quick call in the next week to explore fit?
ServiceNow Ventures,strategic,medium,"Not explicitly stated; ServiceNow Ventures committed $1B to deploy by 2026 and typically targets high-growth early to scale-stage companies, potentially in the $5-40M investment range per round.","ServiceNow Ventures is the strategic venture arm of ServiceNow, focused on investing in early-stage companies developing cloud-based enterprise software, with a strong emphasis on AI enterprise transformation and workflow automation. Their strategy prioritizes startups that integrate or extend ServiceNow's ecosystem, aiming to accelerate innovation in digital workflows.",DataRobot; BigID; Split; Neuron7.ai,,Check sizes not explicitly published; May prioritize companies with direct benefit to ServiceNow's platform/ecosystem,"ServiceNow announced an increased commitment of $1 billion to ServiceNow Ventures by 2026, aiming to back next-gen enterprise software/AI startups and expand their strategic venture activities (May 2023).; Portfolio includes significant AI and enterprise data companies relevant to enterprise software and compliance themes.",https://www.cbinsights.com/investor/servicenow-ventures; https://www.servicenow.com/uk/company/ventures.html; https://www.servicenow.com/company/media/press-room/one-billion-ventures-investment.html; https://golden.com/query/list-of-companies-in-servicenow-venturess-investment-portfolio-R5MX,Exploring Strategic Partnership: Runcible & ServiceNow Ventures,"Dear ServiceNow Ventures Team,  I'm reaching out to introduce Runcible, 'The Governance Layer for AI,' designed for truth-constrained, auditable, and ethical AI in high-stakes domains like finance, healthcare, defense, and government. As organizations adopt generative AI at scale, the need for robust governance becomes mission-critical—ensuring compliance, trust, and operational assurance.  We believe there is significant mutual value in partnering with ServiceNow Ventures. By combining Runcible's technology, rooted in the Natural Law Institute's science of decidability, with ServiceNow's enterprise platform and broad reach, we can catalyze new standards for responsible AI deployment across regulated industries.  We are currently raising $20-30M and would welcome a conversation about how a strategic partnership and investment from ServiceNow Ventures could unlock value for both organizations.",Would you be open to a brief call next week to discuss potential partnership opportunities?
Shield Capital,vc,medium,"Not explicitly disclosed. As an early-stage venture firm with >50 investments, likely seed to Series B, est. $1M–$10M typical initial checks.","Shield Capital is an early-stage venture firm focused on investing in cutting-edge companies within cyber security, artificial intelligence, space, and autonomy. They seek innovations that can deliver both technological leadership and defensible advantages in national security, critical infrastructure and enterprise technology.",Hawkeye 360,"Michael Brown (Contributor on Shield commentary); John Serafini (Portfolio CEO, Hawkeye 360)","No explicit AI governance or safety focus stated: firm appears technically oriented, may prioritize defense/dual-use value over process-heavy safety/compliance.","Featured presentation with Hawkeye 360 on space, defense, and AI innovation (Nov 2025); Commentary by Michael Brown on hedge strategy and commercial tech in defense (Jul 2025)",https://pitchbook.com/profiles/investor/471110-59; https://www.cbinsights.com/investor/shield-capital-partners; https://shieldcap.com/news; https://shieldcap.com/newsroom,"Series A Opportunity: Runcible, The Governance Layer for AI","Dear Shield Capital Team,  I'm reaching out to introduce Runcible—the Governance Layer for AI—at a pivotal moment for auditable and ethical AI in high-stakes sectors. With surging regulatory and societal demand for trustworthy AI, our platform delivers truth-constrained, fully auditable systems that meet the rigorous needs of finance, healthcare, defense, and government.  Our team combines proven leadership with deep expertise in AI, compliance, and high-stakes decision environments. Built on Natural Law Institute breakthroughs in decidability, Runcible positions itself as the enabler of compliant, ethical AI adoption as the market rapidly matures.  We're raising a $20–30M Series A to build on strong early traction and accelerate growth. I'd welcome the chance to discuss how Runcible’s approach can create outsize value for both stakeholders and Shield Capital’s portfolio. ",Are you available for a brief call next week to explore a potential fit?
SignalFire,vc,medium,$1M-$20M (seed and early growth stage); can participate up to $30M+ in follow-ons ([PitchBook](https://pitchbook.com/news/articles/signalfire-raises-1b-ai-venture-capital)),"SignalFire is an early-stage venture capital firm with a heavy focus on applied AI. They leverage proprietary AI-driven sourcing and research tools (Beacon AI) to identify high-potential founders, especially in enterprise and technical verticals. SignalFire's thesis centers on backing the next generation of applied AI startups and using in-house data analytics and AI to add operational value to their portfolio.",Frame.io; Ro; ClassDojo; Lyra Health; Orca Security; Collective; MainStreet,"Potential through portfolio founders (Frame.io, Ro, Lyra Health); Team includes ex-operators and technical leaders","No clear public stance or track record on AI governance, safety, or compliance in high-stakes (finance, healthcare, defense, gov) domains.; Very actively trafficked in general AI and enterprise, so high deal competition.","Raised over $1 billion in new capital in April 2025, bringing total AUM to ~$3B to double down on AI startups.; Announced launch of Beacon AI, an in-house AI tech platform for founder sourcing and market analysis.; Featured as an early mover in AI-assisted venture investing, driving much of their differentiation.",https://pitchbook.com/news/articles/signalfire-raises-1b-ai-venture-capital; https://www.signalfire.com/blog/signalfire-raises-one-billion-in-new-capital; https://www.signalfire.com/beacon-ai; https://www.signalfire.com/portfolio; https://tracxn.com/d/venture-capital/signalfire/__Ni72MEOGOd_Iareo54iUNGMTUeltCRoGjZXJ_vdcz4w; https://www.businesswire.com/news/home/20250407594969/en/AI-Native-VC-SignalFire-Raises-Over-%241B-to-Fuel-the-Next-Wave-of-Applied-AI-Startups-Pushing-AUM-to-%243B; https://pitchbook.com/profiles/investor/60622-12,Introducing Runcible: The Governance Layer for AI – Series A Opportunity,"Hi SignalFire Team,  I'm reaching out to share Runcible, a team of AI, security, and regulatory veterans building the first governance layer for AI. As the world races to integrate AI into high-stakes sectors like finance, healthcare, and government, the stakes around trust, auditability, and ethical assurance have never been higher. Runcible addresses this gap: delivering truth-constrained, auditable, and ethical AI—built on decades of research from the Natural Law Institute on system decidability.  Our market is moving rapidly from AI optimization to AI accountability. Runcible is uniquely positioned for this inflection, already seeing strong pull from regulated verticals and a growing demand for trust-first AI adoption. We're raising $20-30M to accelerate growth, scale our team, and deepen strategic partnerships across regulated markets.  I'd welcome a conversation to share why Runcible will define the governance layer in this new era, and why now is the ideal moment for category leadership. ",Are you available for a brief call next week to discuss how SignalFire and Runcible could partner for high-impact growth?
SineWave Ventures,vc,high,"Series A/B; $5M-$15M typical, sometimes leads $10M+ rounds","SineWave Ventures invests in early-stage US-based technology companies, bridging commercial and public sectors. Core focuses: IT, SaaS, cyber, advanced manufacturing, enterprise infrastructure, and high tech, with a willingness to support companies serving high-stakes and government-aligned markets.",Enterprise Applications; High Tech Companies; Enterprise Infrastructure; SaaS; Cybersecurity,US government/public sector networks; Enterprise technology founders; US-based VC syndicates,,"7 new investments in the last 12 months (as of Feb 2025) [Tracxn]; Recently led $10M Series A round [Tracxn]; Active investor in AI, enterprise, infrastructure [PitchBook, CB Insights]",https://pitchbook.com/profiles/investor/63329-95; https://www.cbinsights.com/investor/sinewave-ventures; https://tracxn.com/d/venture-capital/sinewave-ventures/__OVRTduwwTrYmdoUb8nRD0shcA-1bt3300MwyTWFvkzU; https://sinewave.vc/portfolio/,Introducing Runcible: The Governance Layer for AI – Series A Opportunity,"Hello SineWave Ventures team,  I'm reaching out to share a timely Series A opportunity with Runcible, where we're building the governance layer for AI. Rapid AI adoption in high-stakes domains—finance, healthcare, defense, and government—demands new solutions to assure truth-constrained, auditable, and ethical AI outcomes. Runcible delivers this, grounded in the Natural Law Institute's science of decidability, addressing the mounting regulatory and trust challenges head-on.  Our team's deep experience in both AI and regulatory domains positions us uniquely for this moment, as policies shift and industry demand accelerates. We're seeing strong early traction and are focused on scaling our technology and impact.  We are currently raising $20-30M and believe SineWave Ventures' expertise at the intersection of deep tech and regulated sectors would make you an invaluable partner in this next chapter.","Would you be open to an intro call to discuss how Runcible can help shape trustworthy AI infrastructure, and explore a potential fit for Series A investment?"
SoftBank Vision Fund,vc,medium,"Typically $100M+ for growth, but has participated in rounds as low as $20-30M for early/mid-stage AI/infra bets.","SoftBank Vision Fund is a global venture capital fund focused on transformative, large-scale investments in technology, especially AI, digitization, robotics, biotech, and infrastructure. The fund targets companies with disruptive potential to reshape industries.",OpenAI; Skild AI; ARM; DoorDash; Nuro; Cruise; Boston Dynamics; IRL; OYO; WeWork,"Warm intros via existing AI CEOs (OpenAI, Skild AI, Nuro); former portfolio operators; select tier-1 VCs (Sequoia, Andreessen, etc.)","Reputation for aggressive growth and speculative bets (e.g., WeWork missteps); May prioritize scale/growth over governance/ethics unless externally motivated","SoftBank Vision Fund resumes active dealmaking in AI, biotech, cyber, and quantum (Crunchbase, Mar 2025).; In talks with Nvidia to co-lead $14B round in Skild AI, nearly tripling its value (TechCrunch, Dec 2025).; Portfolio includes major bets on generative AI, robotics, and autonomous systems; renewed capital deployment in 2025 (FeedTheAI, Apr 2025).",https://news.crunchbase.com/venture/softbank-vision-fund-bounces-back-ai-biotech-cyber-quantum/; https://techcrunch.com/2025/12/08/softbank-and-nvidia-reportedly-in-talks-to-fund-skildai-at-14b-nearly-tripling-its-value/; https://www.feedtheai.com/softbanks-ai-portfolio-startups/,Series A Opportunity: Runcible – The Governance Layer for AI,"Dear SoftBank Vision Fund Team,  I’m reaching out to introduce Runcible, raising a $20–30M Series A to address one of the most urgent challenges in AI: ensuring truth-constrained, auditable, and ethical AI for high-stakes sectors including finance, healthcare, defense, and government.  Our timing aligns with a rapid increase in regulatory, societal, and organizational demand for trustworthy AI—a market inflection point we’re prepared to lead. Powered by science from the Natural Law Institute on decidability, our platform acts as the essential governance layer required to unlock secure and impactful AI adoption in critical verticals.  Our team brings proven experience building and scaling category-creating technologies. We’re eager to engage with partners who recognize how critical governance and ethical assurance are to unlocking the full potential of AI.  I’d appreciate the chance to discuss how Runcible’s growth trajectory aligns with SoftBank’s vision at your earliest convenience.",Would you be open to a short introductory call to explore potential alignment?
Spark Capital,vc,medium,"$5–30M+ (typical for growth/Series A-C, can lead rounds in high-growth companies—recent example: Underdog $1.2B valuation Series C)","Spark Capital is an early and growth-stage venture capital firm based in Boston, New York, and San Francisco, investing in startups at the intersection of technology, media, and consumer. Their thesis centers on backing bold teams building transformative technology and digital infrastructure, with a track record in sectors including enterprise software, fintech, and data-driven marketplaces.",Twitter; Slack; Cruise; Postmates; Oculus; Discord; Niantic; Wealthfront; Tumblr,,,"Led Series C in Underdog, online sports gaming, pushing valuation over $1.2B (2025)",https://www.cbinsights.com/investor/spark-capital; https://www.sparkcapital.com/; https://pitchbook.com/profiles/investor/11303-02; https://www.businesswire.com/news/home/20250326332418/en/Spark-Capital-Leads-Underdog-Series-C-Pushing-Valuation-Over-%241.2-Billion,Runcible: The Governance Layer for AI – Series A Opportunity,"Hi Spark Capital Team,  I'm reaching out to introduce Runcible, where we're building the governance layer for AI—solving the urgent need for truth-constrained, auditable, and ethical AI in high-stakes arenas like finance, healthcare, defense, and government.  Recent developments in AI have heightened demand for reliable oversight and regulatory-ready solutions. Our founding team comes from the Natural Law Institute and has deep expertise in the science of decidability, allowing us to build transparent AI infrastructure tailored for sectors where the stakes couldn’t be higher.  We’re seeing rapid growth and engagement, and believe now is the right time for a dedicated governance framework. Our raise is $20-30M to scale to critical adoption and market leadership.  Would you be open to a conversation about Runcible’s Series A and how Spark Capital could partner with us to catalyze this next stage? ",Let me know if you have 30 minutes for an intro call—I’m happy to share our progress and vision for Runcible.
Swiss Re Strategic Ventures,strategic,medium,~$5M–$30M (typical CVC round size; aligns to target),"Swiss Re Strategic Ventures invests in companies driving digital transformation, data, AI, and insurtech that align with Swiss Re’s mission to manage risk and support the insurance/reinsurance ecosystem. They focus on technologies enhancing risk selection, automation, claims management, and governance for high-stakes domains.",Lemonade; Trov; Root Insurance; Digital Reasoning,"Swiss Re (parent company); Pia Tischhauser (Board Chair); Florian Maurer (Chief Digital & Tech, focuses on AI)",Focus is on strategic fit with (re)insurance; may prioritize synergy with Swiss Re’s business lines over purely horizontal AI governance plays.; Can be slow decision-makers; sometimes less keen on 'pure software' outside core insurance/risk context.,Swiss Re sets higher profit goals for 2026 as AI initiatives accelerate ([6]); Partnership with RIQ for AI-driven risk solutions in UAE ([4]); Publicly highlights digital and generative AI in its claims/underwriting businesses ([5]),https://www.reinsurancene.ws/swiss-re-and-riq-partner-to-accelerate-ai-enabled-risk-solutions-in-uae/; https://www.insurancebusinessmag.com/reinsurance/news/breaking-news/swiss-re-sets-higher-2026-profit-goal-as-ai-landh-re-overhaul-take-hold-559112.aspx; https://www.swissre.com/risk-knowledge/advancing-societal-benefits-digitalisation/how-generative-ai-is-transforming-insurance-claims-claimsgenai.html,Exploring a Strategic Partnership: Runcible & Swiss Re Strategic Ventures on Trustworthy AI Governance,"Dear Swiss Re Strategic Ventures Team,  I'm reaching out to introduce Runcible, builders of 'The Governance Layer for AI.' As organizations in finance, healthcare, defense, and government accelerate AI adoption, a critical challenge emerges: ensuring systems are truth-constrained, auditable, and ethical in high-stakes environments.  Runcible addresses this by delivering AI governance grounded in Natural Law Institute science of decidability, solving for transparency and lawful operation as AI's social impact scales. We see unique potential for partnership with Swiss Re Strategic Ventures—combining your leadership in risk, capital, and insurance innovation with our governance platform to shape trustworthy AI ecosystems across your portfolio and beyond. Together, we can pioneer new standards for responsible AI at scale, enabling safer and more reliable outcomes for clients and society alike.  We're currently raising a $20-30M round to further accelerate development and deployment, and would value a conversation to explore mutual opportunities.",Would you be open to a brief introductory call to discuss potential partnership and value creation between Runcible and Swiss Re Strategic Ventures?
Temasek Holdings,strategic,high,Typically $10M–$200M+; $20–30M is within their possible range for strategic or growth-stage deals.,"Temasek is a Singapore government-owned investment company pursuing long-term, sustainable returns via global investments across transformative technology, digitalization, and sustainable solutions. They are active backers of innovation and modernization, especially in sectors like enterprise technology and AI.",Alibaba; Ant Group; GIC; DBS; Virtusa; Dell Technologies; NCS; AI Singapore,Singapore tech/finance circles; Global large-cap investors; Possible co-investors in companies like Virtusa or AI Singapore,"As a state-owned strategic investor, approvals for certain jurisdictions can be complex; slower/fewer deals in early-stage rounds.",How Temasek is Powering AI Adoption at Portfolio Companies [4]; Temasek's Path Forward in a Fragmented World [5]; Portfolio info and recent investments—see official portfolio page [3]; Ongoing coverage [8],https://www.temasek.com.sg/en/our-investments/our-portfolio; https://www.temasek.com.sg/en/news-and-resources/stories/future/future-now/how-temasek-is-powering-ai-adoption-at-portfolio-companies; https://www.temasek.com.sg/en/news-and-resources/stories/future/temasek-path-forward-in-a-fragmented-world; https://www.scmp.com/topics/temasek-holdings,Unlocking Trusted AI for High-Stakes Industries: Runcible Series A Opportunity,"Dear Temasek Holdings team,  Today, institutions across finance, healthcare, defense, and government urgently need trustworthy AI systems—yet existing tools fall short in assurance and governance. At Runcible, we are building 'The Governance Layer for AI' to enable truth-constrained, auditable, and ethical AI for the world’s highest-stakes decisions. Our technology, grounded in the Natural Law Institute's science of decidability, uniquely positions us to address market needs as demand for regulated, transparent AI accelerates.  We’ve assembled a world-class team with deep domain, technical, and operational expertise. Our recent growth and pipeline, coupled with market tailwinds, point toward a category-defining business. We are currently raising $20-30M in our Series A to scale execution and capture opportunity at this critical inflection point.  Thank you for your consideration. I’d welcome the chance to discuss the Runcible vision further and explore potential partnership.",Are you available for a call next week to discuss our Series A and how Runcible aligns with Temasek’s investment thesis?
Thoma Bravo,vc,medium,Typically $20M-$100M+; recent growth deals >$100M; large buyouts $1B+,"Thoma Bravo is a leading private equity investment firm focused on the software and technology sectors, with a strong emphasis on enterprise SaaS, cybersecurity, fintech, and infrastructure. Their thesis centers around scaling established, mission-critical companies in high-growth software verticals.","Verint; PROS Holdings, Inc.; HubSync","Orlando Bravo (Founder, Managing Partner); Holden Spaht (Managing Partner); Thoma Bravo investment team",Focus on established companies; less active in early-stage or specialized AI governance.; Prefers large checks and control stakes; fundraising ask must align.,"Completed $34.4B fundraise across three buyout funds [8],[9]; Acquired Verint, an AI-driven customer experience automation company [4]; Completed acquisition of PROS Holdings, Inc. [7]; Made $100M+ strategic growth investment in HubSync [3]",https://growthcapadvisory.com/firms/thoma-bravo/; https://www.thomabravo.com/press-releases/thoma-bravo-completes-acquisition-of-verint-a-leader-in-ai-driven-customer-experience-automation; https://www.prnewswire.com/news-releases/thoma-bravo-completes-34-4-billion-fundraise-302471819.html; https://pe-insights.com/thoma-bravo-raises-34-4bn-across-three-buyout-funds-marking-record-investor-support/; https://www.thomabravo.com/press-releases/thoma-bravo-announces-more-than-100m-strategic-growth-investment-in-hubsync; https://www.prnewswire.com/news-releases/thoma-bravo-completes-acquisition-of-pros-holdings-inc-302636625.html,Series A Opportunity: Runcible—the Governance Layer for Ethical AI,"Dear Thoma Bravo Team,  I'm reaching out to share an opportunity to partner on Runcible, the Governance Layer for AI, purpose-built for truth-constrained, auditable, and ethical AI in finance, healthcare, defense, and government. As AI adoption accelerates in high-stakes verticals, the market’s need for enforceable governance is becoming urgent—regulators, customers, and mission-critical operators can no longer afford opaque or unchecked models.  Runcible is built on breakthrough science from the Natural Law Institute, making AI decisions provably decidable and auditable. Our founding team combines world-class AI researchers and seasoned operators, now executing rapidly to capture accelerating demand.  We are raising a $20-30M Series A to scale with accelerating market pull and key early customers. Given Thoma Bravo’s expertise in enterprise software and governance, we believe a partnership could be highly strategic at this inflection point for our company and the industry. ",Would you be open to a conversation next week to discuss Runcible’s traction and Series A round?
Thrive Capital,vc,medium,"$10M-$200M+ (ranging from early-stage to late-stage, with flexibility; current fund size supports $20-30M checks)","Thrive Capital is a New York-based venture capital firm founded in 2009 by Josh Kushner. The firm invests in internet, software, and technology-enabled sectors, with a recent focus on artificial intelligence and enterprise technology. Thrive has demonstrated interest in 'transforming' traditional industries through AI, and recently formed Thrive Holdings to buy and modernize service firms (e.g., accounting) via AI, sometimes in partnership with leading AI labs. Thrive seeks high-growth opportunities and bets on category-defining technology businesses.",OpenAI; Databricks,"Josh Kushner (Founder); previous co-investors in AI (e.g., OpenAI circles); industry partners in enterprise AI.",No explicit track record of prioritizing AI safety or governance themes.; Aggressive rollups and buyouts could emphasize efficiency over ethical priorities.,"2025: Thrive formed Thrive Holdings to buy and transform professional services firms with AI. (see [5], [8]); OpenAI took a strategic stake in Thrive Holdings (2025). (see [7], [8]); Thrive managing $25B AUM, raising new multi-billion dollar funds (2025). (see [1], [9])",https://www.productmarketfit.tech/p/how-josh-kushner-built-thrive-capital; https://pitchbook.com/profiles/investor/51625-90; https://www.feedtheai.com/thrive-capital-portfolio-ai-startups-backed-by-thrive-2025-tracker/; https://www.nytimes.com/2025/04/29/business/dealbook/thrive-holdings-rollup-ai.html; https://www.nytimes.com/2025/12/01/business/dealbook/openai-thrive-holdings-ai.html; https://www.cnbc.com/2025/12/01/open-ai-thrive-holdings-enterprise-ai.html; https://www.axios.com/2025/10/22/josh-kushner-thrive-capital-billions,Introducing Runcible: The Governance Layer for High-Stakes AI,"Hi Thrive Capital team,  I’m reaching out to introduce Runcible, where we’re building the governance layer for AI to ensure truth-constrained, auditable, and ethical AI—critical for high-stakes sectors like finance, healthcare, defense, and government.  The market is rapidly realizing the need for strong governance as AI systems are entrusted with consequential decisions. Institutions in these verticals must address risks around trust, transparency, and compliance, and need solutions grounded in science—not guesswork. Our technology is based on the Natural Law Institute’s science of decidability, setting a new standard for AI reliability and auditability.  Our experienced team unites technical depth and domain expertise, and we’re already seeing strong pull from partners across target markets. With the timing right for institutions to adopt robust AI governance, we believe Runcible is poised for outsized growth.  We're currently raising a $20-30M Series A, and I’d appreciate your perspective on a potential fit with Thrive's investment thesis.",Are you available for a brief call next week to discuss Runcible and our growth plans?
Tiger Global,vc,medium,"$10M–$100M+ (typically $20M–$50M for growth/late-stage, but flexible based on deal size)","Tiger Global is a leading global VC and investment firm, known for aggressive growth and late-stage tech investing. In recent years, they've become more disciplined, focusing on sectors with strong technology moats—especially AI, fintech, and enterprise software. Their investments trend toward startups with potential for category leadership.",Databricks; Stripe; OpenAI; ByteDance; UiPath,"Chase Coleman (Co-Founder, Managing Partner); Portfolio founders (e.g., those at Databricks, Stripe, or other Tiger-backed companies)","Recent reports of more conservative and risk-averse stance in new fund launches ([1], [2], [7]); Known for quick dealmaking, sometimes with less due diligence; Valuation sensitivity in current market cycle (potential for slower/inflexible decision-making in governance-focused rounds)","Launched a new, more disciplined $2.2B venture fund with a cautious approach ([1], [2], [3]); Aiming to raise as much as $15.4B overall, indicating continued appetite for large-scale tech investing ([7]); Portfolio includes extensive AI and enterprise exposure, per AI 500 rankings ([4])",https://techcrunch.com/2025/12/08/tiger-global-plans-cautious-venture-future-with-a-new-2-2b-fund/; https://www.cnbc.com/2025/12/08/tiger-global-new-fund-ai-valuations.html; https://entrackr.com/news/tiger-global-plans-22-bn-venture-fund-10894241; https://trakkr.ai/rankings/investor/tiger-global-management; https://hedgefollow.com/funds/Tiger+Global+Management; https://fintel.io/i/tiger-global-management-llc; https://eu.36kr.com/en/p/3592336739155977,Runcible: The Governance Layer for AI – Series A Opportunity,"Hi Tiger Global Team,  We’re reaching out to introduce Runcible, where we’re building 'The Governance Layer for AI'—a much-needed foundation for auditable and ethical AI in high-stakes verticals like finance, healthcare, defense, and government. Dramatic recent advances in AI have outpaced robust governance, and the ability to ensure truth-constrained, compliant automation has never been more urgent for enterprises and society.  Our founding team blends deep expertise in AI, formal systems, and mission-driven verticals. We’re translating fundamental research from the Natural Law Institute into practical, scalable governance architectures—uniquely positioned to address emerging regulatory and ethical challenges as AI adoption accelerates. Since inception, our trajectory shows strong engagement from key customers and policy stakeholders.  We're currently raising a $20-30M Series A to serve this rapidly expanding need and would appreciate the chance to share our progress and vision with you. ",Would you be open to a brief call next week to discuss why we believe market timing and our differentiated approach make Runcible a category leader?
Tom Preston-Werner / PWV (Preston-Werner Ventures),vc,medium,Likely $1-5M+ at pre-seed/seed (leading or co-leading rounds from $100M fund),"PWV backs founder-led, high-impact software and AI-driven companies at the seed and pre-seed stage. As operator-VCs, they look to lead rounds and partner closely with teams in transformative spaces.","Numerous (175+); includes significant AI companies, board seat/infrastructure; specific names not public in search","Tom Preston-Werner (GitHub cofounder), Bay Area technical/VC networks, strong founder ecosystem ties","New 2025 fund (limited track record under 'PWV' name), but long angel track and reputation","Announced $100M PWV Fund I in October 2025, targeting leading pre-seed and seed rounds in AI/software.; PWV launching as a successor to Preston-Werner's angel investing activity.",https://tom.preston-werner.com/2025/10/22/announcing-pwv-fund-1; https://www.linkedin.com/in/mojombo; https://pwv.com/portfolio/tags/ai; https://pwv.com/news/; https://pwv.com/news/post-announcing-pwv-fund-i/; https://tom.preston-werner.com/,Invitation: Help Build the Governance Layer for Ethical AI,"Hi Tom,  I'm reaching out because we're building Runcible, an initiative to tackle one of the most urgent issues in AI: trustworthy governance for high-stakes domains. With AI increasingly mediating decisions in finance, healthcare, defense, and government, the need for truth-constrained, auditable, and ethical AI has never been clearer.  Runcible is based on foundational research from the Natural Law Institute and offers a science-backed path toward decidable, accountable AI systems. We're currently raising a $20–30M angel-led round to bring this vision to fruition.  Given your deep commitment to shaping technologies that impact society, I believe your conviction and early support could accelerate Runcible’s mission at a pivotal time. I'd be honored to share more about our approach and discuss your perspective on the governance of AI. ",Would you be open to a 20-minute call next week to explore this?
UK Infrastructure Bank (now National Wealth Fund),strategic,medium,"£10m–£500m+ (majority of deals >£100m, but sometimes participates in catalytic minority rounds)","A UK government-owned development/infrastructure investor (now the National Wealth Fund) focused on large-scale projects driving economic growth, net zero transition, and additionality, with a mandate to address national priorities and crowd-in private investment—especially in energy, decarbonization, critical infrastructure, and technology.",Highview Power (long-duration energy storage); Ardersier Port energy transition facility,UK government contacts (public sector/infrastructure); Policy advisors and co-investors involved in government-led funding,"Slow, public sector process; not a classical VC (commercial fit/lead time may mismatch); Mandate may require UK operations and strong infrastructure or government-linked angle; Limited history of pure software/AI direct investments—focuses on large-scale infra",UK Infrastructure Bank transitioning into National Wealth Fund (Oct 2024); £165m investment in Highview Power's energy storage facility (May 2024); £100m facility to Ardersier Port energy transition project (May 2024),https://www.nationalwealthfund.org.uk/news/uk-infrastructure-bank-becomes-national-wealth-fund; https://assets.publishing.service.gov.uk/media/6903b86092779f89baa52046/NWF_ARA_24-25.pdf; https://businesscloud.co.uk/news/carbon3-to-invest-1bn-in-sovereign-uk-ai-infrastructure-network/; https://www.nationalwealthfund.org.uk/news-and-publications/news/uk-infrastructure-bank-backs-highview-power-with-165-million-to-deliver-cutting-edge-long-duration-energy-storage-facility/,Series A Opportunity: Runcible—Governance Layer for Ethical AI in Critical Sectors,"Dear UK Infrastructure Bank Team,  We’re reaching out as Runcible launches its Series A, focused on delivering the governance layer for trustworthy AI in finance, healthcare, defense, and government. As AI adoption accelerates in these high-stakes domains, risks around truthfulness and accountability are intensifying: regulators and stakeholders worldwide are seeking robust, auditable solutions.  Our team, building on breakthrough research from the Natural Law Institute, is uniquely positioned to provide ethical, decidability-based AI governance—empowering safer, more transparent infrastructures. Runcible is growing rapidly across key regulated verticals, and momentum has never been stronger for transformative, compliance-driven AI solutions.  We are currently raising $20–30M to accelerate this trajectory, and would be honored to discuss a partnership supporting the UK’s innovation priorities. ",Are you available for a brief call next week to discuss how Runcible’s mission aligns with UK Infrastructure Bank’s strategic vision?
